customer_city,order_id,payment_value
santo antonio de posse,20,5393.22
alegrete,36,5393.04
vassouras,37,5336.56
sabara,42,5334.36
aracruz,41,5333.48
itarare,29,5320.22
canoinhas,27,5291.02
ouro branco,41,5283.79
campo bom,36,5283.34
parnaiba,23,5274.28
cataguases,33,5273.52
dracena,28,5268.27
seropedica,33,5256.35
taquaritinga,33,5237.07
joacaba,26,5233.09
simoes filho,21,5223.07
mariana,33,5218.88
fazenda rio grande,29,5204.96
sao lourenco,34,5199.97
carangola,27,5198.49
passos,43,5196.44
nova odessa,38,5162.07
monte mor,40,5146.17
santo antonio de jesus,30,5146.04
tiete,37,5112.72
almirante tamandare,35,5041.83
formiga,32,5033.34
rio bonito,28,5013.79
biguacu,25,5011.45
promissao,32,4994.96
coronel fabriciano,41,4984.2699999999995
ariquemes,13,4969.64
redencao,18,4958.84
taquara,21,4954.91
barra do garcas,25,4924.29
bom jesus do galho,4,4923.81
santana do livramento,20,4911.3
xanxere,29,4906.49
tangara da serra,24,4870.22
picos,19,4815.69
sao joaquim da barra,34,4808.58
patos,16,4795.28
boa esperanca,20,4789.23
viana,26,4782.41
camaragibe,35,4762.9
campo largo,37,4725.21
pereira barreto,19,4723.13
santa rita do sapucai,35,4687.13
barra bonita,29,4682.95
abaetetuba,11,4672.27
santa fe do sul,35,4668.63
maraba,22,4661.78
carmo do paranaiba,16,4652.95
ponta pora,18,4652.16
castanhal,22,4640.18
russas,9,4622.34
orlandia,29,4617.0199999999995
andradas,12,4595.97
cambe,27,4559.06
imbituba,34,4546.4400000000005
santa vitoria,17,4546.18
sapiranga,26,4477.72
pacatuba,5,4469.860000000001
timbo,20,4468.12
piumhii,28,4454.11
ji-parana,17,4435.13
ituverava,30,4419.18
miguel pereira,28,4409.54
presidente venceslau,26,4366.63
monte alegre do sul,6,4360.38
iguatu,15,4355.54
castro,22,4347.65
mineiros,26,4336.14
dois irmaos,18,4328.64
marechal candido rondon,31,4326.85
guacui,16,4311.75
alvares machado,8,4227.42
teixeira de freitas,29,4218.39
aparecida,25,4208.91
ilhabela,46,4180.38
cicero dantas,10,4156.38
tijucas,30,4144.17
alta floresta,12,4133.89
frutal,26,4116.67
bom jesus do itabapoana,21,4091.46
aguas de lindoia,23,4084.18
martinopolis,8,4084.1099999999997
posse,17,4080.11
catole do rocha,6,4066.6900000000005
panambi,17,4059.15
cerqueira cesar,18,4059.12
campo formoso,10,4054.34
indaial,26,4052.06
januaria,22,4050.95
laranjeiras do sul,20,4039.17
jales,30,4031.92
itapolis,28,4026.78
ipira,10,4010.46
ibiuna,31,4009.93
sorriso,20,4009.0299999999997
sao luiz gonzaga,15,4008.72
campos do jordao,26,3997.02
guapore,18,3987.06
petrolandia,15,3972.5
casimiro de abreu,20,3963.31
cruz alta,33,3961.66
pires do rio,12,3930.0299999999997
itabaiana,16,3929.66
ipanema,7,3916.27
sao pedro,12,3903.33
crato,19,3895.83
bacabal,11,3883.5
cerquilho,30,3861.71
gramado,30,3822.95
monte carmelo,24,3819.48
ibiruba,21,3806.4300000000003
farroupilha,28,3792.49
camboriu,28,3789.08
cachoeira paulista,25,3768.0099999999998
espera feliz,19,3751.42
guararapes,19,3750.05
janauba,17,3699.22
jaguariaiva,19,3692.11
santa rosa,33,3667.06
claudio,22,3664.07
cambui,22,3660.81
sao manuel,21,3655.87
guapimirim,23,3644.91
capao bonito,28,3622.16
medianeira,23,3619.2
congonhas,30,3618.83
cabo de santo agostinho,21,3618.25
valente,9,3614.1000000000004
nova xavantina,10,3602.16
quata,13,3602.05
alem paraiba,29,3601.32
serra negra,14,3599.51
aracati,22,3596.25
ituporanga,15,3580.25
garca,28,3577.37
estancia velha,20,3563.85
escada,10,3556.7
matinhos,27,3538.83
cruzeiro do sul,7,3537.43
juquitiba,21,3529.98
porto feliz,22,3521.9
natividade,16,3517.22
maracaju,13,3511.21
mandaguacu,5,3503.4500000000003
curitibanos,21,3501.49
rondon do para,9,3484.38
brumado,22,3474.19
macatuba,12,3452.45
paraiba do sul,18,3452.08
pederneiras,21,3450.01
barrinha,20,3439.57
itapaje,6,3425.08
braco do norte,20,3423.42
santa cruz do capibaribe,13,3409.19
pedreira,36,3391.29
santa isabel,30,3390.6800000000003
trindade do sul,4,3372.73
ibitinga,22,3368.45
agua boa,18,3358.86
lagoa grande,8,3352.96
venancio aires,26,3352.84
quixada,13,3350.46
alto do rodrigues,8,3346.7000000000003
mairinque,25,3346.7
vera cruz,22,3343.5
santa cruz do rio pardo,35,3343.17
bonito,17,3342.66
porto uniao,14,3329.43
garopaba,23,3326.7200000000003
buritizeiro,9,3315.51
quissama,13,3309.2200000000003
novo horizonte,18,3303.29
santo amaro da imperatriz,12,3296.05
tramandai,25,3289.92
monte azul paulista,19,3287.1
castilho,11,3279.99
monte alto,34,3275.56
marataizes,16,3274.31
alegre,17,3265.0099999999998
canela,18,3264.14
piedade,23,3261.85
sao joao nepomuceno,15,3254.82
paraty,19,3249.86
bom jesus,14,3247.83
senhor do bonfim,19,3241.65
holambra,24,3234.42
ibotirama,7,3233.2
caico,10,3215.31
almenara,14,3212.33
jacutinga,19,3201.74
encantado,11,3196.4500000000003
fraiburgo,15,3189.8
cunha,15,3188.41
piracaia,22,3184.79
machado,21,3182.8
pau dos ferros,9,3176.81
venda nova do imigrante,15,3171.23
itapetinga,18,3169.5
codo,8,3163.98
estancia,9,3157.95
bom jesus da lapa,9,3153.69
floriano,18,3145.5099999999998
caete,27,3144.06
marialva,16,3115.02
rancharia,22,3113.0
carlos barbosa,20,3108.2
imbe,13,3105.67
taiobeiras,13,3103.7999999999997
oliveira,22,3102.9700000000003
cordeiro,24,3098.43
parati,13,3088.59
dias d'avila,24,3085.7599999999998
palmeira,16,3083.31
bom jardim,17,3080.08
ipero,18,3079.8
sao gotardo,20,3078.92
santana do paraiso,16,3077.73
vilhena,18,3076.5299999999997
bariri,15,3075.22
pirapora do bom jesus,16,3067.54
paraguacu paulista,20,3067.31
pitangui,22,3064.2
capelinha,20,3052.35
vacaria,23,3048.71
salgueiro,17,3044.75
presidente epitacio,23,3014.15
sao gabriel,24,3003.4
dois vizinhos,28,3000.9
irati,22,2994.16
vitoria de santo antao,15,2988.47
cafelandia,21,2987.7
sao raimundo nonato,7,2987.04
itapiranga,12,2985.9900000000002
paragominas,19,2979.18
ouro fino,16,2978.2200000000003
presidente dutra,15,2976.37
santiago,26,2974.7
itaporanga,14,2971.05
coromandel,25,2956.71
nova venecia,19,2956.59
feliz,14,2947.8500000000004
espinosa,6,2947.44
colider,8,2943.95
